Voter Registration,Registration Date,Name,Street #,Apt #,Street Name,City,Zip Code,County,Race,Gender,Status,Year of Birth
07917414,1967-12-24,"MCLAIN, BRADEN",921,574,HUTCHESON RD,SURRENCY,31513 - 3601,APPLING,White not of Hispanic Origin,M,Active,1967
11639507,1998-6-27,"SANTOS ZAPIEN, GLENN",876,357,HATCH PKWY N,SURRENCY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1998
07091025,2002-12-16,"STAPLES, EVALYN",482,,HOLT RENTZ RD,SURRENCY,31563 - 2456,APPLING,White not of Hispanic Origin,F,Active,2002
05639756,2018-1-16,"HALE, BILLIE",64,234,ZOAR RD,BRISTOL,31513 - 6381,APPLING,Black not of Hispanic Origin,M,Cancelled,2018
06107370,2015-7-10,"DIAMOND, NELSON",377,395,GRIFFIS RD,BAXLEY,31513,APPLING,Unknown,M,Cancelled,2015
06632574,1978-8-3,"HERNDON, RAYFORD",796,940,HELDA SUE DR,SURRENCY,31513 - 4417,APPLING,White not of Hispanic Origin,M,Active,1978
10437422,1973-5-1,"THOMAS, SUSAN",700,449,CITY CIRCLE RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,Unknown,Cancelled,1973
00647182,1987-6-9,"MCKINNEY, CESAR",501,,GIBBS ST,BAXLEY,31513 - 1356,APPLING,Black not of Hispanic Origin,M,Active,1987
04166005,1965-11-9,"POORE, ALETHA",911,390,BAY ST,BAXLEY,31555,APPLING,White not of Hispanic Origin,F,Active,1965
05511700,1965-8-16,"JACKSON, MARGARET",234,268,MAE LN,BAXLEY,31513 - 3842,APPLING,White not of Hispanic Origin,M,Cancelled,1965
00654687,1962-12-4,"WOOTEN, JULES",256,117,JEKYLL RD,BAXLEY,31513 - 8376,APPLING,White not of Hispanic Origin,M,Cancelled,1962
00654575,2020-4-2,"HUMMEL, HOPE",226,,OSCAR WALKER RD,BAXLEY,31563,APPLING,White not of Hispanic Origin,F,Cancelled,2020
07032188,2002-6-28,"JONES, TENA",224,442,JOHNNY SMITH RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Inactive,2002
04953135,1982-3-19,"JOHNSON, ELIDA",89,,GOLDEN ISLE E,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1982
08841817,1989-6-10,"RICHBURG, AARAV",620,,JW LEWIS RD,SURRENCY,31513 - 6768,APPLING,White not of Hispanic Origin,M,Cancelled,1989
650400,1965-2-23,"LEWIS, BYRD",700,936,UNITY ST,BAXLEY,31563 - 2349,APPLING,White not of Hispanic Origin,F,Active,1965
10560278,1998-3-1,"ROBERSON, VERA",556,949,MILLER RD,BAXLEY,31513,APPLING,Unknown,F,Active,1998
00649556,1980-11-27,"WOODARD, WINNIFRED",692,416,N BEACH ST,BAXLEY,31513 - 4935,APPLING,White not of Hispanic Origin,F,Active,1980
11282972,1966-7-2,"LYONS, MEL",348,891,N MAIN ST,BAXLEY,31513 - 7480,APPLING,White not of Hispanic Origin,M,Active,1966
00650693,1960-9-20,"SMITH, JESS",632,,S MAIN ST,BAXLEY,31513 - 1822,APPLING,White not of Hispanic Origin,M,Active,1960
06078511,1990-6-12,"DYKES, KRISTOFER",819,615,RED OAK RD,BAXLEY,31513 - 4812,APPLING,White not of Hispanic Origin,M,Cancelled,1990
00469381,2018-8-15,"GARNES, MERCEDES",580,619,BLACKSHEAR HWY,BAXLEY,31513 - 8786,APPLING,White not of Hispanic Origin,F,Active,2018
00654949,1963-5-23,"HALLMAN, DEBORAH",150,501,PLIER ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,Unknown,Cancelled,1963
05961445,1986-4-10,"KIMBALL, ESMERALDA",729,607,JOEY LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1986
00653834,2002-10-2,"MCCUTCHEN, KARSON",86,374,HIGHLAND DR,BAXLEY,31513 - 6228,APPLING,White not of Hispanic Origin,M,Active,2002
07490022,1996-12-12,"HANK, CORNELIUS",457,,HOLMESVILLE AVE,BAXLEY,31555 - 6160,APPLING,White not of Hispanic Origin,M,Active,1996
07398752,2006-4-5,"HILLIS, LIBBY",251,398,JAMES DIXON RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,2006
04307157,2015-8-24,"MCCALL, JACKIE",382,124,BUCK HEAD RD,BAXLEY,31563,APPLING,White not of Hispanic Origin,Unknown,Active,2015
08908246,2020-10-11,"CHITTY, STEVIE",756,106,GA HIGHWAY 144,BAXLEY,31513 - 8602,APPLING,White not of Hispanic Origin,M,Cancelled,2020
8122100,2020-1-12,"WILLIAMSON, WESTLEY",336,,BLACKSHEAR HWY,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,2020
01604438,1988-6-18,"DEAN, BIRDIE",406,998,GEORGE CRAVEN RD,SURRENCY,31513 - 6237,APPLING,White not of Hispanic Origin,F,Active,1988
00651467,1984-6-22,"ORVIN, LUCIEN",495,582,BETHEL FREEWILL RD,BAXLEY,31513 - 7810,APPLING,White not of Hispanic Origin,M,Active,1984
00655266,1987-3-22,"TYSON, AHMED",557,631,CRAVEN RD,SURRENCY,31513,APPLING,White not of Hispanic Origin,M,Active,1987
12277719,1973-5-22,"CENTENO, DUNCAN",984,,JOHN LEWIS LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1973
05008334,1993-5-14,"IVORY, HENDERSON",648,636,WARRICK LN,SURRENCY,31513 - 1955,APPLING,White not of Hispanic Origin,M,Active,1993
00650219,1963-1-14,"SIKES, DAVIS",5,444,ZOAR RD,BAXLEY,31513 - 4512,APPLING,White not of Hispanic Origin,M,Active,1963
02302987,1973-7-24,"HORTON, LENNA",440,,HOLLAND RD EXT,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1973
03253153,1976-3-26,"GREEN, KELVIN",639,,HATCH PKWY S,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Cancelled,1976
00650992,1992-5-6,"BENNETT, ISIS",636,419,LAWSON DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1992
5611585,1972-8-26,"VALENCIA, LUTHER",533,808,PENNIMAN ST,BAXLEY,31513 - 6027,APPLING,Black not of Hispanic Origin,M,Cancelled,1972
04355224,2004-9-8,"VANN, CAROLYN",387,,RED DOT RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Cancelled,2004
00654288,2018-6-22,"JARRETT, CORRINE",402,174,COUNTY FARM RD,BAXLEY,31513 - 7298,APPLING,Black not of Hispanic Origin,F,Active,2018
03543452,1961-11-10,"BANKS, MARY",933,525,TORRANCE RD,SURRENCY,31513,APPLING,Unknown,Unknown,Cancelled,1961
04839418,1960-6-25,"HERRINGTON, KIYOSHI",909,,MAGNOLIA DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1960
00655121,1990-3-17,"BRANCH, GERRY",447,234,PENDLETON ST,SURRENCY,31513 - 7699,APPLING,White not of Hispanic Origin,F,Active,1990
11522522,2000-11-1,"THOMAS, JASMINE",818,907,IDELL ST,BAXLEY,31513,APPLING,Other,F,Active,2000
04221737,1986-9-15,"SMITH, MARLIN",661,662,CHRISTIAN SPG CHURCH RD,BAXLEY,31513 - 5855,APPLING,White not of Hispanic Origin,M,Cancelled,1986
08512975,1966-12-23,"WILLIAMS, NICO",726,29,NAILS MOBLEY RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1966
05973906,2020-3-7,"WILLIAMS, BUD",235,440,NFL DR,BAXLEY,31563,APPLING,White not of Hispanic Origin,M,Active,2020
3379504,2004-3-9,"ERRETT, RILEY",460,,CROSBY CHAPEL CHURCH RD,BAXLEY,31513 - 0536,APPLING,White not of Hispanic Origin,M,Active,2004
01049855,2002-1-16,"NEWKIRK, ALVAH",457,,BEN CARTER RD,BAXLEY,31513 - 3395,APPLING,Black not of Hispanic Origin,M,Active,2002
00648793,2002-10-9,"WHITE, COLIN",8,599,ODELL BULLARD RD,BAXLEY,31513 - 9005,APPLING,Black not of Hispanic Origin,M,Active,2002
03559708,2013-10-13,"MABRY, CHELSEY",313,377,FLETCHER RD,HAZLEHURST,31513,APPLING,White not of Hispanic Origin,F,Cancelled,2013
06912689,1986-11-1,"MILES, BRENDA",826,,GA HIGHWAY 144 NE,BAXLEY,31539 - 7682,APPLING,White not of Hispanic Origin,F,Active,1986
05083843,1994-12-1,"WILKERSON, DARRIUS",903,,BLACKSHEAR HWY,BAXLEY,31513,APPLING,Other,M,Active,1994
00649239,2015-3-7,"CICHIRILLO, ALEX",279,,ALDRICH RD,BAXLEY,31518 - 4314,APPLING,White not of Hispanic Origin,M,Inactive,2015
08513149,2009-8-17,"HARRISON, ZAIN",667,944,S MAIN ST SE,BRISTOL,31513 - 1823,APPLING,White not of Hispanic Origin,M,Active,2009
08149701,1990-4-3,"CARTER, LORI",784,,MILTON HALLMAN RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Inactive,1990
00648297,1986-2-15,"MINKEL, MYRNA",650,,MARTIN LUTHER KING JR AVE,BAXLEY,31513 - 7152,APPLING,White not of Hispanic Origin,F,Cancelled,1986
00648555,2016-12-12,"GARCIA, GAIL",456,,THORNTON RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2016
00650118,1982-12-10,"HIGGINS, AMELIA",659,455,HILL TOP RD,BAXLEY,31513 - 1527,APPLING,White not of Hispanic Origin,F,Cancelled,1982
00654453,1984-12-15,"HARRIS, SHERI",502,,DEENS LANDING RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1984
08598301,2012-12-24,"BURKETT, DELMER",908,958,ZOAR RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2012
10188145,2011-7-15,"GUPTON, CARLTON",247,443,DONNIE LN,SURRENCY,31513 - 0409,APPLING,White not of Hispanic Origin,M,Active,2011
00647321,1992-6-16,"CARTER, NELLA",657,816,POOR ROBIN RD,BAXLEY,31513 - 2445,APPLING,Black not of Hispanic Origin,F,Inactive,1992
05355391,2002-1-3,"WASDIN, DRUCILLA",127,321,NAILS FERRY RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,2002
04392768,1966-6-26,"KEOUGH, MORRIS",19,562,SIMMONS ST,BAXLEY,31513 - 2167,APPLING,Unknown,M,Active,1966
649718,1974-3-18,"RENTZ, CLIFFORD",803,,TEN MILE RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1974
00647056,1971-10-5,"MCDOWELL, LOUIS",201,280,HARRY ST,BAXLEY,31557,APPLING,White not of Hispanic Origin,M,Active,1971
07693401,2006-7-25,"CONAWAY, XIMENA",104,410,ZION BAPTIST CHURCH RD,SURRENCY,31513 - 3326,APPLING,White not of Hispanic Origin,F,Cancelled,2006
03543608,1971-4-4,"ALDRIDGE, KOLBY",240,765,RIVER ACRES,BAXLEY,31513 - 3172,APPLING,White not of Hispanic Origin,M,Active,1971
06426519,1994-12-28,"SOLOMON, BILLY",624,298,HIGHLAND DR,BAXLEY,31513 - 3293,APPLING,Black not of Hispanic Origin,M,Cancelled,1994
647270,2001-10-8,"MORRIS, CECILIA",424,,SPRING BRANCH CHURCH RD,BAXLEY,31513 - 1265,APPLING,White not of Hispanic Origin,F,Active,2001
04928750,1966-3-9,"WILLIAMS, WILLIE",788,,TIMOTHY LN,BAXLEY,31513,APPLING,Unknown,M,Active,1966
05451930,2003-3-14,"NEWSOME, JOSUE",836,331,W DUKES ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2003
647821,2016-8-13,"WRIGHT, MORGAN",912,713,E RIVER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,Unknown,Active,2016
01169394,1987-11-4,"DAVES, WINSTON",850,996,MIDDLEWOOD DR,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Active,1987
06169471,2001-6-25,"MOORE, CHESTER",913,,SON CARTER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2001
10415791,1967-2-15,"WESSELLS, ELLEN",118,707,HATCH PKWY N,SURRENCY,31513 - 3207,APPLING,White not of Hispanic Origin,F,Active,1967
03601271,1983-6-5,"CARLTON, ALEAH",738,,BAY ST,BAXLEY,31513 - 5264,APPLING,White not of Hispanic Origin,F,Active,1983
08775855,1974-3-21,"GIBBS, WILL",976,745,E MARTIN ST,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1974
12694848,2002-7-8,"EASON, KENNETH",968,,ALTAMAHA SCHOOL RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,2002
00648125,1973-5-15,"COROUTHERS, MYRTLE",449,54,ELLIS RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1973
4266694,1974-4-3,"COMPTON, CECELIA",847,,ORVIN RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1974
04234085,1966-11-10,"DIXON, CARROLL",392,,KENNY LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1966
08857995,2000-1-24,"SAILEM, MAC",331,150,ALVIN MOODY RD,BAXLEY,31513 - 3266,APPLING,White not of Hispanic Origin,M,Cancelled,2000
05360638,2018-7-23,"SMITH, JOHN",556,,LAKE MAYERS RD,BAXLEY,31563 - 2003,APPLING,White not of Hispanic Origin,M,Cancelled,2018
13394540,1986-2-12,"LANDMON, KRISTIN",418,432,E RIVER RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1986
647328,2014-10-16,"WILLIAMS, CLIFFORD",198,826,CLINT JOHNSON RD,BAXLEY,31513 - 7322,APPLING,White not of Hispanic Origin,F,Active,2014
04948564,2009-2-14,"EVANS, LOREN",588,560,CLELAND LN,BAXLEY,31513 - 9007,APPLING,White not of Hispanic Origin,M,Reject,2009
00648343,2007-5-17,"LEWIS, TRICIA",648,796,S MAIN ST,BAXLEY,31513 - 3722,APPLING,White not of Hispanic Origin,F,Active,2007
08884815,2000-12-26,"PRESLEY, JOSH",894,,BRYANT BOYETTE RD,BAXLEY,31513 - 6009,APPLING,White not of Hispanic Origin,M,Cancelled,2000
00654560,2008-5-15,"SPELL, DEMETRIUS",566,,TOMBERLIN CEMETERY RD,BAXLEY,31513 - 6398,APPLING,Unknown,M,Active,2008
10370476,1971-12-1,"TEEMS, BERNADETTE",872,,DEWITT HERRINGTON RD,BAXLEY,31513 - 5915,APPLING,White not of Hispanic Origin,Unknown,Cancelled,1971
03823024,1979-9-14,"CORRADO, SETH",315,193,SURSSON ST,BAXLEY,31513 - 1075,APPLING,Black not of Hispanic Origin,M,Cancelled,1979
11484758,1990-9-5,"HAYES, HARMON",707,358,LACKAWANNA ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1990
00651474,1984-5-26,"STALVEY, GUY",625,,ASBURY CHURCH RD,BAXLEY,31513 - 4111,APPLING,Black not of Hispanic Origin,M,Cancelled,1984
06216771,1962-5-1,"COLON, MONA",3,527,SATILLA CHURCH RD,BAXLEY,31513 - 1430,APPLING,White not of Hispanic Origin,F,Active,1962
06387457,2017-7-5,"MOORE, LELAND",751,783,SURSSON ST,BAXLEY,31513 - 3623,APPLING,White not of Hispanic Origin,M,Active,2017
05978542,2007-5-14,"HERRINGTON, ROSCOE",709,632,KENNEDY RD,ODUM,31513,APPLING,White not of Hispanic Origin,M,Active,2007
651283,1972-4-15,"MARTIN, CORTNEY",684,,NFL DR,BAXLEY,31513 - 8427,APPLING,White not of Hispanic Origin,F,Active,1972
8203156,1961-8-26,"RENTZ, JADIEL",309,,OSCAR WALKER RD,BAXLEY,31563 - 2760,APPLING,White not of Hispanic Origin,M,Cancelled,1961
12007538,2014-3-17,"SPIVEY, HARRIETTE",484,,BEACH RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,2014
00654196,1963-12-21,"SUMMERALL, AL",364,773,LAKEVIEW DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1963
11481027,1972-7-6,"CRAPPS, LONIE",282,,LENNOX RD,SURRENCY,31513,APPLING,White not of Hispanic Origin,M,Active,1972
06440064,2006-10-11,"WILLIAMS, VICTORIA",358,,HENRY THOMAS RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,2006
12010869,1971-1-2,"MOCK, SEBASTIAN",523,155,DEERFIELD DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1971
654163,1995-3-24,"COLEMAN, CASPER",530,,MOODY ST,BAXLEY,31513 - 7422,APPLING,White not of Hispanic Origin,M,Inactive,1995
10161701,1985-1-27,"ENCINIA, LAKEISHA",732,29,HATCH PKWY N,BAXLEY,31513 - 6770,APPLING,White not of Hispanic Origin,F,Active,1985
00651825,2022-6-8,"KERSEY, BRENDEN",901,,EASON BLUFF RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,2022
06008479,2016-11-4,"DUPRIEST, CHARLOTTE",582,194,HATCH PKWY N,BAXLEY,31513 - 8704,APPLING,Black not of Hispanic Origin,F,Active,2016
04922307,2015-2-17,"HIGHSMITH, FUMIKO",98,,MELTON CHAPEL CHURCH RD,BAXLEY,31513 - 7115,APPLING,White not of Hispanic Origin,F,Active,2015
10078416,1974-11-6,"SCOTT, ETHAN",484,738,COUNTY FARM RD,BAXLEY,31513 - 6821,APPLING,White not of Hispanic Origin,M,Inactive,1974
650196,1990-5-17,"THORNTON, YVETTE",447,835,FROST INDUSTRIAL BLVD,BAXLEY,31513,APPLING,White not of Hispanic Origin,Unknown,Cancelled,1990
12751967,1990-4-6,"SHIFFLETT, VIVIAN",898,15,BLACKSHEAR HWY,BAXLEY,31563 - 3608,APPLING,White not of Hispanic Origin,Unknown,Active,1990
10536346,2019-11-24,"OGLESBY, KURT",50,,E RIVER RD,SURRENCY,31513 - 4519,APPLING,White not of Hispanic Origin,M,Cancelled,2019
03797915,1994-2-6,"TAYLOR, DILLARD",927,,NAILS MOBLEY RD,BAXLEY,31518 - 4309,APPLING,White not of Hispanic Origin,M,Active,1994
00650175,2004-2-12,"LAWRENCE, SHELDON",932,,MAULDIN ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2004
12978137,2002-3-21,"JACKSON, ZAVION",416,,TORRANCE RD,BAXLEY,31513 - 2997,APPLING,White not of Hispanic Origin,M,Cancelled,2002
06079529,1961-4-9,"TILLMAN, ALEX",321,442,OLD FIELD CEMETERY RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1961
00654851,2016-5-28,"COPELAND, FRANCINE",502,2,TOMMY TYRE RD,BAXLEY,31513 - 6401,APPLING,White not of Hispanic Origin,F,Cancelled,2016
04963123,2002-4-7,"BRANCH, JIMMY",161,271,PHILLIPI CHURCH RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,2002
07958267,1968-3-10,"HARRIS, JERRELL",387,208,PINE ST,BAXLEY,31513 - 2949,APPLING,White not of Hispanic Origin,M,Cancelled,1968
12579570,2012-1-18,"PEREZ, CHRIS",265,,SATILLA CHURCH RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2012
08279147,1976-1-9,"PRESLEY, TAMELA",472,633,TOLLISON ST HOLT HOMES E,BAXLEY,31513 - 5411,APPLING,White not of Hispanic Origin,F,Active,1976
06105207,2021-1-1,"HARRIS, JODIE",586,134,FLEMING DR,BRISTOL,31513 - 6171,APPLING,White not of Hispanic Origin,M,Active,2021
00654217,1972-11-11,"CARTER, GLENDON",416,736,OAK RIDGE RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Cancelled,1972
